# @name: Atlas
# @phrase1: You have learned the
# @phrase2: Atlas word for
# @quote: 0
# @accent: #EB4182
# @accent_ref: #D888A8
awake	geos
witness	ciputin
creation	pasycahei
beyond	buwgcob
instant	equelci
cycle	zeyaev
continues	hyruahai
time	uzco
brief	kefeng
galaxy	norio
burden	ziumfie
things	zuhoti
fall	gin
apart	rofink
entropy	fadahl
holds	ajsin
remain	efairn
created	upkathy
immaterial	ziwanjamuru
this	geypt
real	koschib
trapped	inhuredh
escape	ievel
leave	lohynia
fragments	mucelodgunl
chosen	perty
special	noylurele
not	yute
your	onye
kind	ukteh
follow	lupbacam
wake	uavez
among	enkasm
infinite	ihojollem
create	henupi
gods	ojea
calculate	abhajaaraz
hope	sleto
foresee	woforsina
unreal	lifere
die	tiv
consolation	dizzyeonanco
reality	exbeuric
mortality	ahakinjhuwa
perfection	azunushwil
near	nedr
far	bashi
within	kosongal
exist	mehilr
travellers	izdikgapov
lies	dalany
ahead	cheche
infinity	atuisangp
cannot	liydoshn
in	tew
take	zexun
our	terl
here	dian
it	vam
what	burge
are	izy
have	ken
must	kisa
but	acz
been	tun
we	yonk
seen	meycr
before	hacraba
you	jed
is	hene
the	nipi
takes	yanar
be	yad
for	smi
yet	yemp
to	eud
us	vig
that	dihya
an	daf
never	taala
want	oswi
both	webur
all	ucu
has	maps
do	lop
will	ouse
and	skri
with	zeman
first-kind	rakmoroehrd
step	cow
no	bov
other	elina
dared	mecol
grant	kavasup
of	maz
purpose	eepkans
span	hitip
universes	sufilmhu
open	onha
sky	tesh
eyes	clay
find	ocrip
know	ade
await	ekdek
come	agani
so	ges
lost	jig
seeking	otovidso
kindred	uagert
ends	uwo
endless	ardahl
night	pancep
unfolds	letangali
wonder	harua
fear	luknap
silence	lokhovet
delight	mubolytiac
such	dish
knowledge	vadagheden
awaits	ofiltur
trace	varybuw
threads	joraphi
gravity	astoyrfi
hesitate	esdemani
void	baq
sings	tekhamu
vibrant	fiheirov
chorus	enburo
siren	nogbek
song	doa
hymnal	curdz
sands	full
shift	fimo
merge	potr
becoming	uklanha
one	jogo
there	bovach
a	noq
horizon	ejangbir
next	exch
cross	gascohl
them	kres
question	iigahakus
nothing	menostma
calling	kohliaj
denied	yaggva
delay	irna
serves	wunsta
gathering	adrovasth
unrecorded	gliiakhrus
ultimate	kaunart
learn	abos
seek	yidray
document	toportese
bring	gudram
while	quyr
still	smann
remarked	aisopher
endure	gouro
until	owei
finality	tozelaau
expel	trenz
doubt	saoni
none	cakh
return	siriina
cascade	atyren
storms	bambo
only	xatrat
clarity	zanikense
absolute	vulyanher
truth	atiosk
suns	ugge
world	elhel
made	kena
ashen	gatenbo
ending	namyoi
end	auch
existence	sawadjungu
unbounded	aflinodgr
languor	koduyshe
engulfs	kuleydena
darkness	unrubba
meaning	aavand
if	yala
capable	cixian
bonded	cookiya
act	sei
obedience	huotergrei
brings	lotoni
certainty	dixosagest
enlightenment	yeiadoviktond
cage	auere
duty	uber
fail	cuygni
see	iba
becomes	myloczky
visible	agwazny
drawing	riederli
toward	israpi
locus	guyenn
sense	yente
witnessed	oggethieha
unseen	uhcha
sanctuary	ilmangga
end-point	popontinc
communion	fehudtiac
close	vivasi
now	kov
reward	omtup
totality	paynaliu
devotion	eagladya
gift	izd
glimpse	jickjeau
into	dijer
ceaseless	rakkaisita
actuality	jonazzi
turn	aav
away	uge
inescapable	recianiyatiiq
despair	uptahua
