# @name: Autophage
# @phrase1: You have learned the
# @phrase2: Autophage word for
# @quote: 0
# @accent: #69FF91
# @accent_ref: #98E8B0
fly	1o0μi
to	0uβa
us	1ut
little	ζεta1
ship	δa0η
be	axi
free	oδε1
pilot	0ia10
action	0i1iπa
detected	0uβεtiaxa
abort	iδ1a1δ
who	u0a
are	βiξ
you	tε1a1
i	uat
think	δiωo
know	aoωia
your	u01
signal	i0πεγaω
we	βui
did	εa1
not	λu1ε
expect	ko0a1
a	kεηu
do	ηa1a
understand	ελou0ε1a0μ
prebu1lt-entitψ (Prebuilt-Entity)	εγλεt0aka1t0iλ
language	ε0ki11ia1
information	0λiξiγuaμ1
blockage	aβ1u01aλ
modules	1aμi1a0
have	0ouλ
one/1	1utaδ
two/2	taπ
four/4	kot0a
five/5	μoφφ
six/6	εkto
eight/8	1a0ηaka
nine/9	βoδuλa
ten/10	λεδoγ
eleven/11	1u1ia
twelve/12	tiu0i
thirteen/13	ωio1ota
fourteen/14	auoλut1a
sixteen/16	0uδδ0aλ
built	kuβi1
this	πaka
camp	εxθ
together	δioti1ε1
all	aoxη
prefer	ηεiμ1
constructed	1aηtu1i1a1tβ
by	aπi
our	atφε
0wn (own)	ηεηa
hands	μεγ1ε
as	iβη
intercept	ot1o1γ0iμi
well	1εγφε1
still	ot0o1
here	aia
she	o1λ
will	δωελδ
come	πiu0
hell0 (hello)	ηuμε0
apologise	φiφμa1εδ0o
of	xo0γ
go	ε01
and	iεβa
name	δεt
with	o0δπo
so	tu1
as	iβη
any	ξua1
also	ηaω
let	1εθ
but	axζ
can	tεε
the	1atλ
many	oφε1
like	λaωi1
worlds	xλa0o
dream	1ε0i
in	1i1ε
lattice	uζλε0a
purple	ωaλuφ
entity	θuxε11η
erasure	μεπζi1θa
korvax	1uε0t
traveller	00δo1axi1
some	u10
only	ε10u
even	oεt
part	xεauμ
these	ox0o1o
they	1oδoki
their	1oλδ
for	0uηε
last	λuφo
blueprint	θuε0tλiπ0i
what	βu1γε
would	λεφat
could	1it1a
it	δoγ
task	tiθ
error	μuελλε
there	1iφε1to
another	εηuδu1γη
speak	ωaγ1u0
follow	λuπβaxaμ
complete	φoγλaζθuε
procedure	ζiηoζoi0
forgive	ηa0λεε
time	0ua
moment	tη0εβαλ
first	u11ε
help	ωi0ε1δ
meet	0t0ia
more	uakε
from	μaφ
very	xoδoωa
always	ζεxiζ010k
without	δε1k0oμ
choose	εkωa1δ
better	πaξεδi1
share	βit0εt
thank	1εγto1γ
enjoy	δoηua
most	0o00ε
other	ελi1a
happy	ηo1εiδ1
brings	λoto1i
rare	u0uβa
gift	aγk1
exchange	πλε1oo0
about	ta0ε00
staff	1εφελεa
important	0a1εζti0
cradle	δωa11
skilled	βiγε0t
detail	oλ0aω
process	u0ηδouγλ
attention	aζθuεo1a1i
assume	ζa10i
across	λε0λai
divergence	1iηaλ1i11
disruptor	oxkai1ζo1a
different	u11uβa0aa
holy	1aμo
pleasure	1a1ελλo00
perceive	1oφελλμa1a
resonance	φuελaδ0a10
worship	0aδu0ε1
assemble	ηikoηλia
require	o1iξa1
evidence	xiφiδελλ
correct	auζo1aπ
analysis	tωaλμaγηo
open	o1ηa
doors	επka1o
hidden	εkωaδa
universe	o0a0i1a1
violence	touγηa1i0
creativity	φokkε10φελλ
multi-tool	ξika1μit0aζ
intercept	ku0a1ελ0a
welcome	πu01ε0ηa0
congratulations	oλoδ00o1γλa0iμo11
Atlantideum	1iωooπεζi10o
Autophage	πoβε1kωaξa
