# @name: Korvax
# @phrase1: You have learned the
# @phrase2: Korvax word for
# @quote: 0
# @accent: #5FDCFF
# @accent_ref: #9CC8E0
rare	vaiut
warning	durenise
korvax	itelis
convergence	nozavolochen
toxic	vozd
calm	vanog
traveller	kostalymusk
probability	mavirsakhta
please	stvovat
high	len
time	viati
scared	ebakim
virus	layevk
echoes	turyin
data	aishi
power	borod
disruption	giseppusiat
stalled	balaish
silicate	domostok
impossible	ushkalinsky
low	edn
intelligence	inkangbaserta
lifeform	fitsawar
common	kosarac
vy'keen	udyono
entity	kevich
orbital	kazaniem
experiment	zohcherdesk
past	ayv
dead	kolsh
clarify	ugurusan
fascinating	leznakoideob
atlas	tologri
station	livnye
oxides	tagoda
bless	angels
interruption	kiyshomanotes
imminently	zaviatnikha
awakes	trezhir
technology	kislobninog
yourself	ransiys
isotope	elburg
overcharges	nouraktichev
units	truni
language	tuapsemu
brain	ubanov
tissue	ibayev
research	napatoust
failure	irnyevs
criminal	gotovnoye
starships	koyashmaniar
back	hesh
future	ougleb
pure	kadn
sentinel	ugulmato
scan	omin
greed	vezdar
unavailable	ikargoffri
motor	aetsk
fire	utsiv
discuss	gansiysk
overheat	gobekin
contact	gochinoo
retreat	uriyeve
required	nokamskyv
alert	zania
core	aso
artificial	kihopyevetsi
insert	puchay
bathe	kroymsk
or	liz
bad	has
vessel	skovrov
share	bilets
topic	glazov
reset	nudet
primary	gester
silicates	miosskaia
excess	epovozm
holy	riki
respect	zehasha
excitement	hutarabaltay
worship	ladaniv
oxide	uyev
weaponry	ebskalt
remove	epano
repair	uvorki
resources	lonereche
secondary	kelepikiyev
donate	biysk
specialists	dachyegoryk
beware	amady
destiny	epikiner
escape	izeli
eheu	mog
existence	somonoslav
examination	kahaylovke
ayee	ter
apologies	gradnayank
electron	rameshevs
white	nani
loss	akh
upload	zoria
ahem	epet
unknown	ognitog
advance	kopinestv
discharge	tovnoslu
reconstruction	arechnostarii
help	yichie
gek	akov
healing	uyevsky
reject	ikungr
formula	oglegoda
relevant	yozhensk
allow	ektro
geological	rimiinakorja
valuable	ubovkin
mission	urzhiva
begins	emvab
ship	pomo
becomes	oblasovs
filter	tisovsky
leave	monogor
reward	pessk
slavery	darnau
avoid	negors
additional	oduboevui
enthusiast	tivnyevsk
absorb	iudac
joyful	hachyeg
embrace	deyskyvi
disconnection	ovetsialnyokha
dislike	zoyormonc
wait	etomu
disaster	tuyndala
reboot	gutayga
pain	etamb
sleep	kiro
quarantine	yucharabaz
detection	zahskyviumv
hole	bogut
negotiation	rusakoidammag
wakes	aymaz
creation	rakinovk
element	zorial
immediately	mezenskyvin
loop	yuc
forbidden	yonkiesbro
soon	meysk
probable	plimskyv
control	nozhenyo
uncommon	kuvartkal
trade	vigradu
signal	iniche
hello	evoy
blueprint	hovaldanov
experiments	kasayevkargun
ending	omlya
corrupted	lolashtar
synthetic	shoyarov
create	inich
timeline	ekandal
poison	dishacha
improbable	yeyskyvium
monolith	reutokaya
youth	livaiu
galaxy	ondro
centre	lovan
reality	godskovo
speech	vogratsk
casing	tubimu
insignificant	iiakhnevichu
busy	ruiu
admires	turazn
friend	yattira
permanent	pestneves
speaks	hekovrop
species	lamsky
benevolence	efremkhonyev
creatures	ichinskyvi
isolated	pitkyak
attack	bashcaha
researcher	gubkinogors
travels	ezensk
new	oeto
concentrate	vagraduzhumi
operational	uynakoskjar
red	sno
neural	ereseng
morning	ektrov
dangerous	yebkovsegem
good	muchad
orb	ray
technological	ognitskazhevo
darkness	utsialn
danger	fitsii
waters	kitiman
temporal	agnitsan
hmm	nik
level	otdy
praise	arenshec
child	burgun
findings	duiutskaz
file	sosyla
blob	loyt
education	inkangbial
automated	oitelebe
restoration	zuhmandarent
your	petu
wants	apsh
constantly	uapseusius
relearn	tepushc
transmission	bonyevkazhel
network	tulakoid
catalogue	rukhaluymsky
recharge	desnoura
decrease	gachyovod
invisible	ebskaluett
adores	gobekin
great	nodalny
not	zay
pay	irz
ignore	dushc
blockage	irbiturtr
over	oevus
better	rubinsky
failed	eurazl
move	lin
traveller's	devoikhoviche
goods	sosnoz
face	ikov
endangered	ryunguryu
awaits	oukoyan
sales	virsk
restore	zadracepa
information	telnoslanud
accidentally	onstanasheb
federation	hilovkarapu
hazard	esial
save	shichi
elements	nazyvaye
provide	ershovos
operator	edynald
strata	bogonet
join	per
remains	kitotor
drone	kesper
only	yalsko
capacitor	veycuhnyev
sends	lileys
discover	barnyev
vy'keen	udyono
feel	iys
interrupted	iiskiyevsky
fault	afimo
seek	yirnye
me	vok
recall	roleemo
